sehir,tarih,aylik_ortalama_ecopulse
Bayburt,2024-04,55.22
Bayburt,2024-05,55.93
Bayburt,2024-06,47.69
Bayburt,2024-07,45.66
Bayburt,2024-08,49.33
Bayburt,2024-09,52.91
Bayburt,2024-10,55.94
Bayburt,2024-11,55.37
Bayburt,2024-12,61.59
Bayburt,2025-01,60.45
Bayburt,2025-02,61.72
Bayburt,2025-03,60.43
Bayburt,2025-04,64.76
Bayburt,2025-05,47.91
Bilecik,2020-01,61.57
Bilecik,2020-02,58.64
Bilecik,2020-03,51.91
Bilecik,2020-04,52.86
Bilecik,2020-05,48.04
Bilecik,2020-06,49.77
Bilecik,2020-07,49.86
Bilecik,2020-08,47.7
Bilecik,2020-09,50.19
Bilecik,2020-10,50.83
Bilecik,2020-11,54.68
Bilecik,2020-12,54.24
Bilecik,2021-01,59.85
Bilecik,2021-02,56.44
Bilecik,2021-03,55.59
Bilecik,2021-05,49.03
Bilecik,2021-06,51.87
Bilecik,2021-07,49.09
Bilecik,2021-08,47.65
Bilecik,2021-09,54.64
Bilecik,2021-10,52.36
Bilecik,2021-11,51.64
Bilecik,2021-12,58.4
Bilecik,2022-01,58.62
Bilecik,2022-02,57.61
Bilecik,2022-03,57.21
Bilecik,2022-04,52.25
Bilecik,2022-05,48.64
Bilecik,2022-07,49.67
Bilecik,2022-08,50.12
Bilecik,2022-09,50.51
Bilecik,2022-10,53.1
Bilecik,2022-11,53.33
Bilecik,2022-12,60.34
Bilecik,2023-01,55.04
Bilecik,2023-02,61.2
Bilecik,2023-05,56.65
Bilecik,2023-06,55.17
Bilecik,2023-07,46.8
Bilecik,2023-08,48.79
Bilecik,2023-09,46.75
Bilecik,2023-10,51.36
Bilecik,2023-11,55.49
Bilecik,2023-12,55.67
Bilecik,2024-02,56.46
Bilecik,2024-03,50.86
Bilecik,2024-04,47.73
Bilecik,2024-05,55.77
Bilecik,2024-06,45.17
Bilecik,2024-07,52.05
Bilecik,2024-08,49.19
Bilecik,2024-09,47.58
Bilecik,2024-10,50.83
Bilecik,2024-11,55.9
Bilecik,2024-12,57.06
Bilecik,2025-01,56.63
Bilecik,2025-02,57.36
Bilecik,2025-03,55.86
Bilecik,2025-04,53.75
Bilecik,2025-05,48.97
Bingöl,2020-01,62.35
Bingöl,2020-02,64.54
Bingöl,2020-05,51.7
Bingöl,2020-06,54.44
Bingöl,2020-07,50.41
Bingöl,2020-08,50.83
Bingöl,2020-09,50.42
Bingöl,2020-10,51.22
Bingöl,2020-12,61.92
Bingöl,2021-01,62.25
Bingöl,2021-02,63.6
Bingöl,2021-05,50.53
Bingöl,2021-06,47.0
Bingöl,2021-07,49.46
Bingöl,2021-08,51.43
